"ID","Sex","Age","Salary"
117,"Female",24,5823
118,"Female",21,2483
119,"Female",20,2237
120,"Female",22,2380
121,"Female",27,3968
122,"Female",25,2731
123,"Female",28,2440
124,"Female",24,1452
125,"Female",23,2103
126,"Female",26,1195
127,"Female",23,2763
128,"Female",26,1906
129,"Female",26,2341
130,"Female",25,2332
131,"Female",23,5174
132,"Female",20,3936
133,"Female",29,1294
134,"Female",21,2811
135,"Female",29,2641
136,"Female",29,1054
137,"Female",21,2469
138,"Female",27,2056
139,"Female",27,2338
140,"Female",28,1886
141,"Female",24,1816
142,"Female",21,3933
143,"Female",25,3580
144,"Female",23,2381
145,"Female",25,1197
146,"Female",25,4009
147,"Female",21,3646
148,"Female",20,3423
149,"Female",23,844
150,"Female",25,1184
151,"Female",20,5436
152,"Female",22,5138
153,"Female",23,3552
154,"Female",28,2051
155,"Female",24,2566
156,"Female",25,4623
157,"Female",27,754
158,"Female",24,3111
159,"Female",22,2396
160,"Female",27,3384
161,"Female",24,1730
162,"Female",25,3077
163,"Female",25,4483
164,"Female",23,1410
165,"Female",21,1108
166,"Female",29,3545
167,"Female",22,1119
168,"Female",20,3685
169,"Female",21,2235
170,"Female",21,1501
171,"Female",23,2433
172,"Female",29,1490
173,"Female",25,1828
174,"Female",24,4473
175,"Female",29,2281
176,"Female",27,3749
177,"Female",25,2193
178,"Female",26,5891
179,"Female",26,1923
180,"Female",25,2810
181,"Female",21,1785
182,"Female",20,6706
183,"Female",24,2313
184,"Female",20,1661
185,"Female",22,4060
186,"Female",26,5487
187,"Female",25,6348
188,"Female",22,2181
189,"Female",25,4162
190,"Female",27,2012
191,"Female",23,2559
192,"Female",24,2012
193,"Female",21,1373
194,"Female",20,1487
195,"Female",28,3940
196,"Female",28,2013
197,"Female",20,5194
198,"Female",27,2064
199,"Female",27,2281
200,"Female",20,2208
201,"Female",28,2274
202,"Female",26,1911
203,"Female",24,4656
204,"Female",27,3080
205,"Female",26,2744
206,"Female",27,5304
207,"Female",28,7783
208,"Female",20,1366
209,"Female",29,2437
210,"Female",22,3129
211,"Female",25,1118
212,"Female",22,2320
213,"Female",28,4244
214,"Female",28,3018
215,"Female",20,2997
216,"Female",21,1503
217,"Female",25,2190
218,"Female",20,1051
219,"Female",27,1336
220,"Female",21,3119
221,"Female",21,3876
222,"Female",26,1753
223,"Female",25,3363
224,"Female",24,3481
225,"Female",26,2864
226,"Female",20,992
227,"Female",29,5436
228,"Female",28,3466
229,"Female",26,1470
230,"Female",20,2159
231,"Female",23,2773
232,"Female",21,8286
233,"Female",22,2209
234,"Female",21,1628
235,"Female",20,3236
236,"Female",28,5288
237,"Female",23,3120
238,"Female",21,4223
239,"Female",27,2359
240,"Female",21,1850
241,"Female",28,1185
242,"Female",20,2299
243,"Female",23,2561
244,"Female",21,1868
245,"Female",27,5241
246,"Female",23,2646
247,"Female",26,941
248,"Female",27,2707
249,"Female",20,1911
250,"Female",25,1527
251,"Female",29,3215
252,"Female",28,3249
253,"Female",26,1449
254,"Female",21,4640
255,"Female",24,1498
256,"Female",20,5069
257,"Female",25,1509
258,"Female",25,1443
259,"Female",29,1692
260,"Female",28,2418
261,"Female",28,2993
262,"Female",27,1884
263,"Female",23,6792
264,"Female",25,2588
265,"Female",27,3299
266,"Female",26,2659
267,"Female",29,1670
268,"Female",21,1650
269,"Female",20,1894
270,"Female",26,2430
271,"Female",29,1455
272,"Female",29,4224
273,"Female",26,1746
274,"Female",21,2305
275,"Female",24,1770
276,"Female",20,2058
277,"Female",24,5069
278,"Female",29,3337
279,"Female",26,3445
280,"Female",26,2757
281,"Female",23,1063
282,"Female",26,3119
283,"Female",20,3780
284,"Female",27,3557
285,"Female",22,4744
286,"Female",21,2142
287,"Female",26,2228
288,"Female",26,2101
289,"Female",27,4933
290,"Female",24,1457
291,"Female",20,2966
292,"Female",25,1517
293,"Female",23,3448
294,"Female",29,3797
295,"Female",27,2130
296,"Female",26,2190
297,"Female",26,5137
298,"Female",21,2458
299,"Female",22,2569
300,"Female",22,2013
301,"Female",20,2186
302,"Female",26,1923
303,"Female",24,3158
304,"Female",26,3549
305,"Female",23,2366
306,"Female",23,2145
307,"Female",23,2201
308,"Female",26,1602
309,"Female",24,3595
310,"Female",29,1630
311,"Female",28,2262
312,"Female",25,3005
313,"Female",23,2025
314,"Female",25,1076
315,"Female",20,1908
316,"Female",21,2896
317,"Female",20,1250
318,"Female",29,1229
319,"Female",21,5585
320,"Female",25,1976
321,"Female",28,1805
322,"Female",20,1311
323,"Female",27,2068
324,"Female",29,6203
325,"Female",25,2612
326,"Female",20,3475
327,"Female",20,1809
328,"Female",27,2870
329,"Female",23,918
330,"Female",24,3908
331,"Female",23,3129
332,"Female",28,4800
333,"Female",20,3249
334,"Female",29,1140
335,"Female",20,2212
336,"Female",29,1666
337,"Female",28,1905
338,"Female",20,3664
339,"Female",20,1674
340,"Female",20,1967
341,"Female",28,6644
342,"Female",29,3082
343,"Female",20,2156
344,"Female",22,3102
345,"Female",27,2457
346,"Female",28,2570
347,"Female",24,2639
348,"Female",29,6250
349,"Female",24,2229
350,"Female",21,2510
351,"Female",25,8260
352,"Female",21,2349
353,"Female",26,2487
354,"Female",26,3397
355,"Female",24,1452
356,"Female",22,2652
357,"Female",24,2926
358,"Female",20,1108
359,"Female",23,4325
360,"Female",23,2489
361,"Female",25,1504
362,"Female",29,1367
363,"Female",29,5765
364,"Female",27,2763
365,"Female",20,2870
366,"Female",29,1884
367,"Female",29,2284
368,"Female",20,895
369,"Female",21,3858
370,"Female",22,1944
371,"Female",29,1242
372,"Female",25,2332
373,"Female",24,5247
374,"Female",28,4753
375,"Female",27,1861
376,"Female",28,3323
377,"Female",21,1608
378,"Female",21,3505
379,"Female",24,1922
380,"Female",21,3101
381,"Female",25,2540
382,"Female",20,721
383,"Female",21,1559
384,"Female",20,2859
385,"Female",22,729
386,"Female",28,3706
387,"Female",27,2690
388,"Female",29,1230
389,"Female",23,3842
390,"Female",25,1759
391,"Female",29,2252
392,"Female",21,1291
393,"Female",23,3053
394,"Female",21,2986
395,"Female",21,3659
396,"Female",23,2445
397,"Female",24,1544
398,"Female",22,4203
399,"Female",29,5862
400,"Female",28,2289
401,"Female",25,1664
402,"Female",20,3464
403,"Female",20,2565
404,"Female",29,1955
405,"Female",27,6207
406,"Female",24,2868
407,"Female",28,2811
408,"Female",28,1305
409,"Female",21,2465
410,"Female",21,1299
411,"Female",23,1419
412,"Female",28,1946
413,"Female",23,1404
414,"Female",26,2991
415,"Female",25,1903
416,"Female",28,4334
417,"Female",25,2014
418,"Female",28,1677
419,"Female",24,5741
420,"Female",26,1877
421,"Female",25,1888
422,"Female",26,1912
423,"Female",23,1412
424,"Female",22,4176
425,"Female",24,3565
426,"Female",20,3470
427,"Female",26,2710
428,"Female",21,1928
429,"Female",28,2647
430,"Female",25,2167
431,"Female",27,5281
432,"Female",26,4139
433,"Female",23,4171
434,"Female",21,3039
435,"Female",22,4498
436,"Female",26,6374
437,"Female",22,2213
438,"Female",24,1959
439,"Female",26,2301
440,"Female",20,2209
441,"Female",23,2398
442,"Female",29,1955
443,"Female",27,1655
444,"Female",27,2211
445,"Female",24,1381
446,"Female",29,5868
447,"Female",21,3044
448,"Female",29,2210
449,"Female",22,2285
450,"Female",29,1105
451,"Female",20,2504
452,"Female",21,1427
453,"Female",26,4517
454,"Female",25,5536
455,"Female",28,1773
456,"Female",20,1695
457,"Female",28,6674
458,"Female",23,1536
459,"Female",28,2006
460,"Female",28,3252
461,"Female",28,3695
462,"Female",25,1938
463,"Female",26,1420
464,"Female",29,5404
465,"Female",26,2867
466,"Female",26,2268
467,"Female",29,1708
468,"Female",24,4531
469,"Female",24,1730
470,"Female",24,2314
471,"Female",29,1336
472,"Female",27,1341
473,"Female",24,2480
474,"Female",25,3102
475,"Female",20,3658
476,"Female",21,934
477,"Female",25,2295
478,"Female",29,2109
479,"Female",26,2191
480,"Female",27,748
481,"Female",27,2024
482,"Female",29,3517
483,"Female",20,3530
484,"Female",21,5705
485,"Female",22,4228
486,"Female",27,2455
487,"Female",27,842
488,"Female",25,3104
489,"Female",27,1945
490,"Female",26,2579
491,"Female",28,3883
492,"Female",24,5198
493,"Female",25,5423
494,"Female",26,1167
495,"Female",25,3339
496,"Female",25,744
497,"Female",26,2343
498,"Female",22,3112
499,"Female",26,3389
500,"Female",27,3901
501,"Female",24,2788
502,"Female",26,1322
503,"Female",22,3253
504,"Female",27,2642
505,"Female",25,3151
506,"Female",24,2562
507,"Female",28,5304
508,"Female",26,1468
509,"Female",24,2984
510,"Female",22,2298
511,"Female",23,2049
512,"Female",23,1692
513,"Female",29,4172
514,"Female",25,2212
515,"Female",24,1677
516,"Female",20,2630
517,"Female",28,2155
518,"Female",23,1857
519,"Female",28,763
520,"Female",23,2960
521,"Female",27,2756
522,"Female",25,3534
523,"Female",22,3427
524,"Female",24,3243
525,"Female",22,1060
526,"Female",29,2852
527,"Female",26,8899
528,"Female",22,4888
529,"Female",25,1570
530,"Female",21,1204
531,"Female",29,1313
532,"Female",21,3035
533,"Female",28,2122
534,"Female",27,5316
535,"Female",24,2905
536,"Female",28,2431
537,"Female",28,2007
538,"Female",21,1974
539,"Female",20,3206
540,"Female",21,2229
541,"Female",22,1603
542,"Female",23,1536
543,"Female",21,3605
544,"Female",26,1172
545,"Female",23,2665
546,"Female",20,1421
547,"Female",29,6430
548,"Female",29,5946
549,"Female",26,3024
550,"Female",26,5179
551,"Female",28,2446
552,"Female",20,2678
553,"Female",28,2677
554,"Female",28,720
555,"Female",22,3293
556,"Female",27,1282
557,"Female",29,1671
558,"Female",21,961
559,"Female",22,1513
560,"Female",25,853
561,"Female",21,3841
562,"Female",26,2478
563,"Female",20,2609
564,"Female",25,1357
565,"Female",22,1194
566,"Female",20,775
567,"Female",25,1545
568,"Female",28,2795
569,"Female",23,2634
570,"Female",29,3203
571,"Female",29,4505
572,"Female",26,1603
573,"Female",25,2754
574,"Female",21,6354
575,"Female",24,2492
576,"Female",24,2381
577,"Female",27,1985
578,"Female",22,2051
579,"Female",29,1742
580,"Female",25,2252
581,"Female",21,1818
582,"Female",23,2104
583,"Female",22,3123
584,"Female",23,2508
585,"Female",28,1868
586,"Female",28,1019
587,"Female",23,2745
588,"Female",27,2568
589,"Female",24,2153
590,"Female",28,2615
591,"Female",21,2709
592,"Female",20,6022
593,"Female",24,4164
594,"Female",20,1528
595,"Female",29,3727
596,"Female",29,3139
597,"Female",25,2447
598,"Female",29,2486
599,"Female",29,1524
600,"Female",21,2121
601,"Female",25,3335
602,"Female",28,3133
603,"Female",21,2677
604,"Female",25,5683
605,"Female",27,1509
606,"Female",26,1295
607,"Female",26,4131
608,"Female",27,3683
609,"Female",22,3875
610,"Female",25,2058
611,"Female",28,1769
612,"Female",27,1306
613,"Female",26,9557
614,"Female",28,2057
615,"Female",27,566
616,"Female",21,1841
617,"Female",26,3454
618,"Female",29,1711
619,"Female",21,1967
620,"Female",29,3254
621,"Female",20,2754
622,"Female",27,3671
623,"Female",20,1481
624,"Female",21,2339
625,"Female",24,2212
626,"Female",22,3711
627,"Female",28,1841
628,"Female",22,6396
629,"Female",23,3207
630,"Female",24,3107
631,"Female",27,3142
632,"Female",28,3172
633,"Female",22,3603
634,"Female",22,3011
635,"Female",28,3054
636,"Female",20,2400
637,"Female",27,2396
638,"Female",24,2704
639,"Female",29,2383
640,"Female",23,2043
641,"Female",28,6349
642,"Female",24,1303
643,"Female",29,3827
644,"Female",29,1389
645,"Female",23,2428
646,"Female",29,1052
647,"Female",28,5295
648,"Female",23,1656
649,"Female",25,3133
650,"Female",28,3002
651,"Female",22,2380
652,"Female",28,2384
653,"Female",28,1502
654,"Female",22,2596
655,"Female",26,2974
656,"Female",26,2417
657,"Female",26,3239
658,"Female",24,1307
659,"Female",28,1817
660,"Female",28,4068
661,"Female",24,1519
662,"Female",27,3575
663,"Female",25,1288
664,"Female",27,2220
665,"Female",20,1617
666,"Female",26,2313
667,"Female",23,4272
668,"Female",24,3732
669,"Female",23,3160
670,"Female",23,3596
671,"Female",24,1574
672,"Female",22,569
673,"Female",20,1137
674,"Female",23,4767
675,"Female",28,644
676,"Female",23,2909
677,"Female",20,1567
678,"Female",28,1823
679,"Female",24,3176
680,"Female",25,1671
681,"Female",27,1377
682,"Female",20,3248
683,"Female",21,2913
684,"Female",26,6426
685,"Female",22,5946
686,"Female",22,4215
687,"Female",24,855
688,"Female",29,2004
689,"Female",20,2356
690,"Female",23,1727
691,"Female",29,1537
692,"Female",24,1522
693,"Female",22,4037
694,"Female",25,3800
695,"Female",24,2507
696,"Female",20,1869
697,"Female",27,2985
698,"Female",27,3009
699,"Female",29,2731
700,"Female",26,2866
701,"Female",24,2807
702,"Female",29,1210
703,"Female",24,2949
704,"Female",20,2833
705,"Female",20,1539
706,"Female",29,1747
707,"Female",29,4746
708,"Female",21,1842
709,"Female",27,5371
710,"Female",22,3851
711,"Female",29,2319
712,"Female",20,1460
713,"Female",20,2284
714,"Female",26,6106
715,"Female",20,1000
716,"Female",29,1837
717,"Female",28,2716
718,"Female",27,2406
719,"Female",20,818
720,"Female",22,2608
721,"Female",23,2259
722,"Female",20,2406
723,"Female",28,1190
724,"Female",20,1626
725,"Female",21,1672
726,"Female",26,3306
727,"Female",27,2305
728,"Female",23,6717
729,"Female",25,3253
730,"Female",29,2535
731,"Female",20,5041
732,"Female",21,1507
733,"Female",25,2021
734,"Female",21,2501
735,"Female",29,2249
736,"Female",25,2219
737,"Female",20,2229
738,"Female",25,4495
739,"Female",22,1956
740,"Female",24,1585
741,"Female",24,2145
742,"Female",20,2171
743,"Female",29,3572
744,"Female",23,4172
745,"Female",28,6018
746,"Female",25,2805
747,"Female",25,5478
748,"Female",24,4529
749,"Female",21,2362
750,"Female",29,1086
751,"Female",23,3351
752,"Female",26,1738
753,"Female",20,1868
754,"Female",29,1762
755,"Female",21,1179
756,"Female",28,2363
757,"Female",28,3241
758,"Female",20,1334
759,"Female",27,3005
760,"Female",20,1887
761,"Female",20,5558
762,"Female",26,991
763,"Female",25,2293
764,"Female",25,3410
765,"Female",23,1065
766,"Female",22,2027
767,"Female",20,2884
768,"Female",27,2811
769,"Female",24,1175
770,"Female",24,2364
771,"Female",28,1432
772,"Female",28,3369
773,"Female",28,1985
774,"Female",29,3074
775,"Female",29,1997
776,"Female",27,1011
777,"Female",27,1258
778,"Female",26,1321
779,"Female",28,4224
780,"Female",21,1573
781,"Female",20,2914
782,"Female",24,1000
783,"Female",20,1581
784,"Female",25,867
785,"Female",27,1640
786,"Female",21,4095
787,"Female",26,1355
788,"Female",29,2382
789,"Female",24,2981
790,"Female",27,2326
791,"Female",29,3884
792,"Female",27,2149
793,"Female",24,1994
794,"Female",28,1475
795,"Female",27,4160
796,"Female",27,3250
797,"Female",21,2132
798,"Female",24,2913
799,"Female",25,2845
800,"Female",22,2407
801,"Female",27,4370
802,"Female",20,3063
803,"Female",23,1701
804,"Female",26,4323
805,"Female",25,2646
806,"Female",27,1177
807,"Female",20,3262
808,"Female",20,3545
809,"Female",25,2025
810,"Female",22,4079
811,"Female",24,2694
812,"Female",24,2316
813,"Female",21,3053
814,"Female",23,2218
815,"Female",29,4523
816,"Female",24,3257
817,"Female",26,3959
818,"Female",23,1293
819,"Female",29,2053
820,"Female",24,2839
821,"Female",22,3391
822,"Female",24,2639
823,"Female",27,5435
824,"Female",22,3087
825,"Female",22,1827
826,"Female",24,2519
827,"Female",24,5084
828,"Female",29,2512
829,"Female",24,1262
830,"Female",24,2127
831,"Female",23,1598
832,"Female",22,3304
833,"Female",21,2678
834,"Female",23,1670
835,"Female",28,1070
836,"Female",28,3893
837,"Female",26,2935
838,"Female",29,1487
839,"Female",28,868
840,"Female",28,2855
841,"Female",25,1726
842,"Female",25,2609
843,"Female",29,1555
844,"Female",28,8672
845,"Female",23,3989
846,"Female",22,2502
847,"Female",22,1445
848,"Female",21,1307
849,"Female",29,4783
850,"Female",25,1823
851,"Female",25,1667
852,"Female",23,1708
853,"Female",25,2112
854,"Female",23,3778
855,"Female",29,1653
856,"Female",22,1272
857,"Female",27,4284
858,"Female",22,1850
859,"Female",20,1289
860,"Female",22,4082
861,"Female",20,3620
862,"Female",23,2017
863,"Female",23,4075
864,"Female",21,2818
865,"Female",25,2072
866,"Female",29,3065
867,"Female",20,1307
868,"Female",23,2479
869,"Female",23,3594
870,"Female",27,3149
871,"Female",25,1541
872,"Female",24,2147
873,"Female",25,1606
874,"Female",21,4245
875,"Female",29,1775
876,"Female",21,5876
877,"Female",25,1569
878,"Female",27,1364
879,"Female",27,5729
880,"Female",28,5788
881,"Female",24,3399
882,"Female",20,1126
883,"Female",24,2962
884,"Female",23,3104
885,"Female",21,1876
886,"Female",24,7268
887,"Female",25,4228
888,"Female",23,2208
889,"Female",29,1506
890,"Female",27,2190
891,"Female",28,2252
892,"Female",22,4317
893,"Female",23,4340
894,"Female",23,1351
895,"Female",28,1569
896,"Female",21,1883
897,"Female",20,2548
898,"Female",23,2230
899,"Female",24,1703
900,"Female",29,2850
901,"Female",28,2061
902,"Female",21,1078
903,"Female",28,2435
904,"Female",29,2082
905,"Female",23,2276
906,"Female",24,3711
907,"Female",29,4053
908,"Female",21,2709
909,"Female",23,3420
910,"Female",21,2124
911,"Female",22,3764
912,"Female",21,2739
913,"Female",23,3818
914,"Female",23,1552
915,"Female",26,4866
916,"Female",24,2317
917,"Female",24,2801
918,"Female",24,1332
919,"Female",29,3467
920,"Female",23,5313
921,"Female",25,2110
922,"Female",22,2942
923,"Female",22,2360
924,"Female",28,2766
925,"Female",25,3269
926,"Female",29,910
927,"Female",24,2113
928,"Female",23,1365
929,"Female",25,2074
930,"Female",29,2552
931,"Female",26,2866
932,"Female",24,2015
933,"Female",24,5389
934,"Female",27,3661
935,"Female",25,1249
936,"Female",29,4205
937,"Female",20,1976
938,"Female",28,1434
939,"Female",20,3026
940,"Female",26,2268
941,"Female",24,2934
942,"Female",24,6280
943,"Female",29,1235
944,"Female",21,3518
945,"Female",27,1728
946,"Female",21,4085
947,"Female",23,1429
948,"Female",24,1668
949,"Female",22,2445
950,"Female",29,4110
951,"Female",29,4822
952,"Female",26,1087
953,"Female",29,2499
954,"Female",27,2147
955,"Female",27,2250
956,"Female",29,1853
957,"Female",20,7715
958,"Female",28,5132
959,"Female",20,1848
960,"Female",23,2103
961,"Female",25,2647
962,"Female",21,2064
963,"Female",25,2116
964,"Female",26,1741
965,"Female",29,1590
966,"Female",21,2629
967,"Female",24,3385
968,"Female",20,3228
969,"Female",27,1926
970,"Female",27,1146
971,"Female",28,3826
972,"Female",25,2353
973,"Female",25,2040
974,"Female",26,5344
975,"Female",22,2330
976,"Female",28,2003
977,"Female",21,1666
978,"Female",27,1619
979,"Female",24,2126
980,"Female",21,3378
981,"Female",23,3021
982,"Female",26,3383
983,"Female",26,928
984,"Female",24,1231
985,"Female",24,1519
986,"Female",20,5926
987,"Female",26,2882
988,"Female",25,2752
989,"Female",27,1443
990,"Female",27,5894
991,"Female",27,4088
992,"Female",25,1467
993,"Female",24,1505
994,"Female",29,2651
995,"Female",27,1625
996,"Female",24,2237
997,"Female",22,2233
998,"Female",23,6601
999,"Female",24,2183
1000,"Female",28,1696
1001,"Female",20,2203
1002,"Female",26,3713
1003,"Female",23,3079
1004,"Female",23,1441
1005,"Female",27,3329
1006,"Female",29,2917
1007,"Female",28,1011
1008,"Female",24,4529
1009,"Female",26,4028
1010,"Female",28,7215
1011,"Female",24,4897
1012,"Female",25,1706
1013,"Female",23,1716
1014,"Female",22,2191
1015,"Female",27,978
1016,"Female",22,3592
1017,"Female",23,1105
1018,"Female",26,868
1019,"Female",28,965
1020,"Female",21,1205
1021,"Female",27,2918
1022,"Female",20,2644
1023,"Female",29,3434
1024,"Female",29,1763
1025,"Female",28,5225
1026,"Female",27,3672
1027,"Female",29,2940
1028,"Female",25,3832
1029,"Female",22,3968
1030,"Female",22,13049
1031,"Female",28,1894
1032,"Female",29,1554
1033,"Female",24,1523
1034,"Female",29,1539
1035,"Female",23,2859
1036,"Female",24,1995
1037,"Female",24,2960
1038,"Female",25,2018
1039,"Female",23,893
1040,"Female",26,4072
1041,"Female",23,3997
1042,"Female",26,1392
1043,"Female",23,1841
1044,"Female",21,2231
1045,"Female",28,2365
1046,"Female",24,3169
1047,"Female",29,1508
1048,"Female",21,4372
1049,"Female",22,3438
1050,"Female",28,1919
1051,"Female",24,2078
1052,"Female",25,2046
1053,"Female",20,1231
1054,"Female",26,4587
1055,"Female",26,2890
1056,"Female",27,1443
1057,"Female",29,1100
1058,"Female",21,960
1059,"Female",21,2274
1060,"Female",22,2952
1061,"Female",26,2525
1062,"Female",20,1303
1063,"Female",29,9653
1064,"Female",26,2170
1065,"Female",26,3229
1066,"Female",26,1510
1067,"Female",26,1325
1068,"Female",21,2213
1069,"Female",25,3019
1070,"Female",29,1688
1071,"Female",28,2381
1072,"Female",26,4466
1073,"Female",28,2792
1074,"Female",24,1904
1075,"Female",20,1118
1076,"Female",20,6454
1077,"Female",29,5794
1078,"Female",20,4806
1079,"Female",20,3306
1080,"Female",22,1642
1081,"Female",25,2072
1082,"Female",24,744
1083,"Female",28,913
1084,"Female",29,1575
1085,"Female",21,3051
1086,"Female",25,2794
1087,"Female",22,1246
1088,"Female",21,3035
1089,"Female",24,1386
1090,"Female",29,3917
1091,"Female",24,3280
1092,"Female",20,2215
1093,"Female",29,3611
1094,"Female",24,4030
1095,"Female",21,2070
1096,"Female",25,2152
1097,"Female",23,1103
1098,"Female",23,3072
1099,"Female",22,780
1100,"Female",26,2692
1101,"Female",27,1244
1102,"Female",26,4477
1103,"Female",22,1766
1104,"Female",21,2455
1105,"Female",20,1538
1106,"Female",29,1664
1107,"Female",27,2937
1108,"Female",25,10736
1109,"Female",23,1661
1110,"Female",21,1339
1111,"Female",23,3167
1112,"Female",20,2788
1113,"Female",27,4546
1114,"Female",26,1646
1115,"Female",28,2002
1116,"Female",20,3249
1117,"Female",29,1273
1118,"Female",27,3741
1119,"Female",29,1384
1120,"Female",23,4245
1121,"Female",21,3658
1122,"Female",22,956
1123,"Female",20,1150
1124,"Female",25,4245
1125,"Female",20,5571
1126,"Female",28,7608
1127,"Female",25,2875
1128,"Female",24,2173
1129,"Female",20,4037
1130,"Female",27,1423
1131,"Female",22,1730
1132,"Female",28,1338
1133,"Female",21,1816
1134,"Female",20,1351
1135,"Female",25,3126
1136,"Female",20,3507
1137,"Female",26,2275
1138,"Female",25,2941
1139,"Female",22,3356
1140,"Female",25,705
1141,"Female",27,2277
1142,"Female",22,5053
1143,"Female",29,2282
1144,"Female",21,3502
1145,"Female",22,6029
1146,"Female",22,1624
1147,"Female",23,3198
1148,"Female",28,5114
1149,"Female",27,790
1150,"Female",25,2804
1151,"Female",24,3579
1152,"Female",29,1128
1153,"Female",24,1779
1154,"Female",28,1911
1155,"Female",21,2550
1156,"Female",29,2371
1157,"Female",29,4919
1158,"Female",29,1622
1159,"Female",23,5825
1160,"Female",23,855
1161,"Female",21,935
1162,"Female",28,1539
1163,"Female",22,1169
1164,"Female",23,1267
1165,"Female",28,3113
1166,"Female",29,2511
1167,"Female",28,1814
1168,"Female",23,2590
1169,"Female",26,1972
1170,"Female",28,1934
1171,"Female",26,4624
1172,"Female",25,4561
1173,"Female",26,1986
1174,"Female",26,2086
1175,"Female",27,1397
1176,"Female",20,3519
1177,"Female",29,2153
1178,"Female",29,2971
1179,"Female",26,3675
1180,"Female",21,3750
1181,"Female",21,2820
1182,"Female",25,3353
1183,"Female",24,3646
1184,"Female",28,2249
1185,"Female",27,1036
1186,"Female",23,1588
1187,"Female",23,2651
1188,"Female",24,2476
1189,"Female",22,3534
1190,"Female",20,1620
1191,"Female",29,4980
1192,"Female",24,4250
1193,"Female",28,657
1194,"Female",25,3222
1195,"Female",21,1692
1196,"Female",26,6767
1197,"Female",27,3745
1198,"Female",23,2262
1199,"Female",26,3250
1200,"Female",23,2173
1201,"Female",22,2988
1202,"Female",24,2784
1203,"Female",27,1124
1204,"Female",25,2211
1205,"Female",26,2129
1206,"Female",22,1473
1207,"Female",20,855
1208,"Female",26,1259
1209,"Female",26,2525
1210,"Female",22,1619
1211,"Female",20,1524
1212,"Female",22,1330
1213,"Female",28,1220
1214,"Female",20,3209
1215,"Female",21,2722
1216,"Female",20,2332
1217,"Female",28,6227
1218,"Female",25,2126
1219,"Female",21,1135
1220,"Female",28,2593
1221,"Female",27,1617
1222,"Female",21,3042
1223,"Female",22,2268
1224,"Female",20,1272
1225,"Female",23,1757
1226,"Female",29,4635
1227,"Female",23,1485
1228,"Female",21,2272
1229,"Female",20,3392
1230,"Female",29,3728
1231,"Female",29,1513
1232,"Female",26,4036
1233,"Female",20,2307
1234,"Female",21,2700
1235,"Female",29,4082
1236,"Female",26,2730
1237,"Female",25,2997
1238,"Female",22,2352
1239,"Female",25,1123
1240,"Female",27,2442
1241,"Female",21,4816
1242,"Female",20,6017
1243,"Female",24,3275
1244,"Female",23,1096
1245,"Female",23,2790
1246,"Female",20,4910
1247,"Female",25,2344
1248,"Female",24,1608
1249,"Female",27,1624
1250,"Female",21,1909
1251,"Female",24,1656
1252,"Female",21,1270
