"ID","Age_Retired","Last_Salary","Retirement_Savings","Monthly_Benefit","Replacement_Rate"
3702,62,3011,12415.35,69.68,"2.3%"
3703,62,4278,14861.89,83.41,"1.9%"
3704,66,6500,23229.58,130.37,"2.0%"
3705,68,5384,18796.74,105.49,"2.0%"
3706,61,4264,17832.91,100.08,"2.3%"
3707,63,3197,15047.6,84.45,"2.6%"
3708,62,2501,10740.56,60.28,"2.4%"
3709,60,3454,12655.86,71.03,"2.1%"
3711,60,3902,16774.11,94.14,"2.4%"
3712,61,2441,8667.86,48.64,"2.0%"
3713,64,3453,15213.91,85.38,"2.5%"
3714,61,11848,39261.65,220.34,"1.9%"
3715,64,4574,19552.3,109.73,"2.4%"
3716,67,3593,13582.26,76.22,"2.1%"
3717,67,7004,24308.63,136.42,"1.9%"
3718,64,762,4453.87,25,"3.3%"
3719,65,3722,12537.84,70.36,"1.9%"
3720,68,4551,18444.71,103.51,"2.3%"
3721,68,3236,11573.15,64.95,"2.0%"
3722,68,3127,14761.39,82.84,"2.6%"
3724,68,3501,15178.44,85.18,"2.4%"
3725,64,4818,16619.03,93.27,"1.9%"
3726,66,5144,18267.82,102.52,"2.0%"
3727,60,4448,18429.01,103.42,"2.3%"
3728,63,5634,19861.89,111.47,"2.0%"
3729,61,3198,11544.62,64.79,"2.0%"
3730,61,8653,32862.14,184.42,"2.1%"
3731,68,2121,9917.33,55.66,"2.6%"
3732,61,3724,13921.64,78.13,"2.1%"
3733,63,3524,13087.69,73.45,"2.1%"
3734,64,1229,6089.13,34.17,"2.8%"
3735,62,5695,20609.13,115.66,"2.0%"
3736,63,10699,40093.37,225.01,"2.1%"
3737,68,1343,6867.02,38.54,"2.9%"
3739,60,2434,13064.42,73.32,"3.0%"
3741,66,3936,16953.17,95.14,"2.4%"
3742,65,2030,9197.07,51.61,"2.5%"
3743,60,3815,13294.45,74.61,"2.0%"
3744,64,7044,28401.16,159.39,"2.3%"
3745,62,2262,11357.18,63.74,"2.8%"
3746,62,3318,15736.37,88.31,"2.7%"
3747,64,5565,19335.75,108.51,"1.9%"
3748,62,2217,11007.48,61.77,"2.8%"
3749,61,6551,23857.46,133.89,"2.0%"
3750,66,2358,8010.96,44.96,"1.9%"
3751,63,6071,21415.79,120.19,"2.0%"
3752,60,6013,23374.74,131.18,"2.2%"
3753,63,2033,9408.98,52.8,"2.6%"
3754,62,4070,17728.54,99.49,"2.4%"
3755,66,6655,22432.47,125.89,"1.9%"
3756,62,4863,20059.76,112.58,"2.3%"
3757,63,5296,18102.24,101.59,"1.9%"
3758,62,3860,13215.22,74.16,"1.9%"
3759,62,2977,10452.09,58.66,"2.0%"
3760,65,4549,18602.45,104.4,"2.3%"
3761,64,6088,22244.64,124.84,"2.1%"
3762,62,3897,16097.76,90.34,"2.3%"
3763,62,6176,24959.51,140.07,"2.3%"
3764,62,1172,6750.14,37.88,"3.2%"
3765,62,2562,11973.73,67.2,"2.6%"
3766,62,2802,10754.15,60.35,"2.2%"
3767,63,2530,13377.13,75.07,"3.0%"
3768,64,4119,17117.52,96.06,"2.3%"
3769,65,5911,24284.93,136.29,"2.3%"
3770,67,5379,19088.9,107.13,"2.0%"
3772,62,5732,20422.24,114.61,"2.0%"
3773,64,1900,7050.86,39.57,"2.1%"
3774,64,3862,13452.8,75.5,"2.0%"
3776,61,2699,9825.42,55.14,"2.0%"
3777,63,6018,23777.95,133.44,"2.2%"
3778,65,11282,42167.39,236.65,"2.1%"
3779,68,1996,7891.38,44.29,"2.2%"
3780,65,3407,11376.24,63.84,"1.9%"
3781,60,5114,18708.07,104.99,"2.1%"
3782,66,4755,15849.01,88.95,"1.9%"
3783,67,4786,20331.64,114.1,"2.4%"
3785,61,4249,18410.4,103.32,"2.4%"
3786,67,5870,20566.57,115.42,"2.0%"
3787,64,4620,16292.09,91.43,"2.0%"
3788,67,5887,21595.43,121.19,"2.1%"
3789,60,3945,17217.18,96.62,"2.4%"
3790,67,2194,10169.28,57.07,"2.6%"
3791,60,4213,16403.02,92.05,"2.2%"
3792,61,3889,13204.18,74.1,"1.9%"
3793,65,3541,16720.71,93.84,"2.7%"
3794,63,4236,15600.25,87.55,"2.1%"
3795,60,11289,38042.73,213.5,"1.9%"
3796,60,2628,12529.75,70.32,"2.7%"
3797,62,2946,12886.09,72.32,"2.5%"
3798,67,3187,11809.52,66.28,"2.1%"
3800,66,2577,11744.66,65.91,"2.6%"
3801,61,3695,13611.6,76.39,"2.1%"
3802,62,2310,9674.46,54.29,"2.4%"
3803,63,2368,8438.79,47.36,"2.0%"
3805,60,5237,19894.24,111.65,"2.1%"
3806,65,6803,25502.19,143.12,"2.1%"
3807,66,2762,14250.74,79.98,"2.9%"
3808,65,2485,12342.06,69.26,"2.8%"
3809,66,3344,16088.2,90.29,"2.7%"
3811,60,2460,12623.27,70.84,"2.9%"
3812,67,11601,41026.21,230.24,"2.0%"
3814,62,2633,10107.38,56.72,"2.2%"
3815,62,2410,9423.44,52.88,"2.2%"
3816,66,4342,15090.24,84.69,"2.0%"
3817,66,6635,26522.31,148.84,"2.2%"
3818,61,2139,10844.97,60.86,"2.8%"
3820,63,6182,21392.32,120.05,"1.9%"
3821,64,7716,26058.42,146.24,"1.9%"
3822,64,4544,15354.09,86.17,"1.9%"
3823,64,3700,14465.12,81.18,"2.2%"
3824,66,5528,18358.01,103.03,"1.9%"
3825,68,3889,13684.68,76.8,"2.0%"
3826,66,3315,14408.15,80.86,"2.4%"
3832,65,8411,31453.69,176.52,"2.1%"
3833,68,2958,14323.72,80.39,"2.7%"
3834,63,3352,13322.89,74.77,"2.2%"
3835,63,3777,14213.74,79.77,"2.1%"
3836,63,5486,19936.07,111.88,"2.0%"
3837,68,7642,26252,147.33,"1.9%"
3838,64,2263,12226.49,68.62,"3.0%"
3839,60,4868,17393.46,97.61,"2.0%"
3840,63,5870,21365.46,119.9,"2.0%"
3841,68,2569,11272.02,63.26,"2.5%"
3842,60,2607,12854.58,72.14,"2.8%"
3843,64,2755,12629.68,70.88,"2.6%"
3844,68,2908,10991.32,61.68,"2.1%"
3845,66,3682,13854.99,77.76,"2.1%"
3846,60,2746,13044.7,73.21,"2.7%"
3847,64,4847,17336.87,97.3,"2.0%"
3848,62,4566,18777.27,105.38,"2.3%"
3849,60,4685,15789.92,88.61,"1.9%"
3850,61,3869,13907.19,78.05,"2.0%"
3851,65,2185,8381.82,47.04,"2.2%"
3852,62,3455,15371.5,86.27,"2.5%"
3853,62,2454,9086.12,50.99,"2.1%"
3855,67,3289,12946.21,72.65,"2.2%"
3856,66,3296,14823.62,83.19,"2.5%"
3857,61,5987,24224.09,135.95,"2.3%"
3858,66,4503,18217.04,102.24,"2.3%"
3859,68,6671,24714.1,138.7,"2.1%"
3860,67,7682,28610.25,160.56,"2.1%"
3861,61,2607,12430.18,69.76,"2.7%"
3862,68,6460,23906,134.16,"2.1%"
3863,67,5772,21742.06,122.02,"2.1%"
3864,68,4890,18567.37,104.2,"2.1%"
3865,65,2560,13272.66,74.49,"2.9%"
3866,61,4779,18129.29,101.74,"2.1%"
3867,65,7833,26493.53,148.68,"1.9%"
3868,65,3490,16396.03,92.02,"2.6%"
3869,65,1135,6517.28,36.58,"3.2%"
3870,64,2453,12359.95,69.36,"2.8%"
3871,61,6749,25161.83,141.21,"2.1%"
3872,66,4450,15876.06,89.1,"2.0%"
3873,65,5774,20207.85,113.41,"2.0%"
3875,61,1475,4917.17,27.6,"1.9%"
3876,64,3565,15761.14,88.45,"2.5%"
3877,61,1785,10894,61.14,"3.4%"
3878,65,9221,34489.02,193.55,"2.1%"
3879,67,5774,23267.05,130.58,"2.3%"
3880,61,2065,11915.33,66.87,"3.2%"
3881,61,6962,24094.72,135.22,"1.9%"
3882,67,2554,9913.79,55.64,"2.2%"
3883,66,9113,30430.57,170.78,"1.9%"
3884,64,4868,18636.96,104.59,"2.1%"
3885,67,4007,17224.31,96.66,"2.4%"
3886,61,5704,21880.68,122.8,"2.2%"
3887,67,4038,14375.2,80.67,"2.0%"
3889,64,10095,35713.29,200.43,"2.0%"
3890,67,5578,19655.2,110.31,"2.0%"
3891,67,1520,9185.88,51.55,"3.4%"
3893,60,8047,31286.1,175.58,"2.2%"
3894,63,5238,17773.82,99.75,"1.9%"
3895,68,2964,12836.76,72.04,"2.4%"
3896,67,4938,19694.32,110.53,"2.2%"
3898,63,6240,25060.93,140.64,"2.3%"
3899,66,6746,25140.88,141.09,"2.1%"
3900,67,2490,12449.14,69.87,"2.8%"
3901,65,7495,29250.71,164.16,"2.2%"
3902,60,7869,30120.15,169.04,"2.1%"
3903,68,2196,10492.92,58.89,"2.7%"
3904,63,5282,22420.54,125.83,"2.4%"
3905,65,2058,11063.01,62.09,"3.0%"
3907,62,2352,11514.85,64.62,"2.7%"
3909,66,5131,17010.63,95.46,"1.9%"
3910,61,3973,17541.43,98.44,"2.5%"
3911,60,3102,13734.55,77.08,"2.5%"
3912,66,3317,13367.4,75.02,"2.3%"
3913,67,3879,14314.91,80.34,"2.1%"
3914,68,6050,22840.49,128.18,"2.1%"
3915,60,4416,16849.04,94.56,"2.1%"
3916,63,2946,11966.96,67.16,"2.3%"
3917,65,1077,8235.59,46.22,"4.3%"
3918,65,3840,13616.67,76.42,"2.0%"
3919,67,4592,17641.32,99,"2.2%"
3920,65,4783,19540.23,109.66,"2.3%"
3921,67,2034,11675.58,65.52,"3.2%"
3923,60,5394,21300.05,119.54,"2.2%"
3924,67,10070,37323.43,209.46,"2.1%"
3925,68,2921,12806.53,71.87,"2.5%"
3926,63,3118,11858.88,66.55,"2.1%"
3927,61,7734,29497.19,165.54,"2.1%"
3928,65,8585,32225.41,180.85,"2.1%"
3929,65,3120,14401.29,80.82,"2.6%"
3930,65,4897,18715.18,105.03,"2.1%"
3931,61,4439,18897.97,106.06,"2.4%"
3932,68,3758,16939.55,95.07,"2.5%"
3933,63,5205,18159.98,101.91,"2.0%"
3934,67,1651,6200.25,34.8,"2.1%"
3935,64,3539,15924.7,89.37,"2.5%"
3936,65,1951,10939.23,61.39,"3.1%"
3937,60,1597,10152.5,56.98,"3.6%"
3938,60,6012,24112.89,135.32,"2.3%"
3939,60,10444,35717.37,200.45,"1.9%"
3940,65,4283,18615.27,104.47,"2.4%"
3941,64,2191,10397.86,58.35,"2.7%"
3942,68,1107,4057.71,22.77,"2.1%"
3943,68,3580,13447.38,75.47,"2.1%"
3944,63,3233,14050.67,78.85,"2.4%"
3945,62,2999,11645.83,65.36,"2.2%"
3946,61,2988,10894.74,61.14,"2.0%"
3947,60,3900,13044.09,73.2,"1.9%"
3948,62,2057,9386.51,52.68,"2.6%"
3949,67,1439,5468.6,30.69,"2.1%"
3950,64,4084,17881.3,100.35,"2.5%"
3951,64,2373,7881.14,44.23,"1.9%"
3952,66,3097,14037.33,78.78,"2.5%"
3953,60,1863,7385.94,41.45,"2.2%"
3954,66,2388,11110.72,62.35,"2.6%"
3955,66,3523,12230.88,68.64,"1.9%"
3956,62,8186,30302.47,170.06,"2.1%"
3957,67,4631,19482.43,109.34,"2.4%"
3959,60,4137,14610.17,81.99,"2.0%"
3961,65,2867,14243.31,79.93,"2.8%"
3962,60,6346,25516.39,143.2,"2.3%"
3964,66,3192,13071.15,73.36,"2.3%"
3965,63,3240,10983.59,61.64,"1.9%"
3966,65,5661,22848.93,128.23,"2.3%"
3967,64,5862,22213.17,124.66,"2.1%"
3969,63,4132,16253.24,91.21,"2.2%"
3970,64,2675,9480.64,53.21,"2.0%"
3971,61,5791,21726.29,121.93,"2.1%"
3973,60,9163,33214.26,186.4,"2.0%"
3974,63,3493,15920.6,89.35,"2.6%"
3975,65,5666,20088.12,112.74,"2.0%"
3976,66,2243,11563.65,64.9,"2.9%"
3977,64,2559,12146.8,68.17,"2.7%"
3979,62,6029,20449.34,114.76,"1.9%"
3981,68,4542,19639.8,110.22,"2.4%"
3982,64,4099,14938.3,83.83,"2.0%"
3984,63,2316,9835.7,55.2,"2.4%"
3985,62,2838,12358.89,69.36,"2.4%"
3986,67,5526,22249.41,124.87,"2.3%"
3987,62,3912,14570.48,81.77,"2.1%"
3988,63,3791,13903.94,78.03,"2.1%"
3989,67,2094,8335.25,46.78,"2.2%"
3990,65,3525,12478.35,70.03,"2.0%"
3991,63,6285,21736,121.98,"1.9%"
3992,65,1760,6672.87,37.45,"2.1%"
3993,67,4599,19062.04,106.98,"2.3%"
3994,67,3524,12094.8,67.88,"1.9%"
3995,68,4671,18305.06,102.73,"2.2%"
3996,61,4432,15612.4,87.62,"2.0%"
3997,61,4762,18343.62,102.95,"2.2%"
3998,61,2852,9888.04,55.49,"1.9%"
3999,68,2876,14539.11,81.59,"2.8%"
4000,65,1863,10457.82,58.69,"3.2%"
4001,60,3082,11294.79,63.39,"2.1%"
4002,62,5452,19870.97,111.52,"2.0%"
4003,60,4059,17705.25,99.36,"2.4%"
4004,66,3234,11135.54,62.49,"1.9%"
4005,63,3754,15353.65,86.17,"2.3%"
4006,66,3189,14501.9,81.39,"2.6%"
4007,60,5942,20184.19,113.27,"1.9%"
4008,64,3744,13268.83,74.47,"2.0%"
4009,65,9616,33282.83,186.79,"1.9%"
4010,62,2755,12690.82,71.22,"2.6%"
4011,67,7025,28167.48,158.08,"2.3%"
4012,61,6535,24812.57,139.25,"2.1%"
4013,62,3006,11038.57,61.95,"2.1%"
4014,64,2432,9321.74,52.31,"2.2%"
4015,66,3561,13361.29,74.98,"2.1%"
4016,61,3771,12949.51,72.67,"1.9%"
4017,64,2158,9577.5,53.75,"2.5%"
4018,62,1553,9287.79,52.12,"3.4%"
4019,66,5713,19062.67,106.98,"1.9%"
4020,63,1500,5382.92,30.21,"2.0%"
4021,61,3311,16013.39,89.87,"2.7%"
4023,60,6643,23323.17,130.89,"2.0%"
4024,63,6718,25300.32,141.99,"2.1%"
4025,62,7854,27471.32,154.17,"2.0%"
4026,67,5894,22778.8,127.84,"2.2%"
4027,63,7797,26565.28,149.09,"1.9%"
4028,67,5171,18575.83,104.25,"2.0%"
4029,65,3785,16057.22,90.11,"2.4%"
4030,64,2193,11462.14,64.33,"2.9%"
4031,60,6369,23141.97,129.87,"2.0%"
4032,63,5567,19609.83,110.05,"2.0%"
4034,65,2168,10820.22,60.72,"2.8%"
4035,68,4898,20465.21,114.85,"2.3%"
4036,66,8909,33114.91,185.84,"2.1%"
4037,66,2525,10775.73,60.47,"2.4%"
4039,63,1744,7934.39,44.53,"2.6%"
4040,63,4536,15921.71,89.35,"2.0%"
4041,61,8180,27781.44,155.91,"1.9%"
4042,63,5402,20879.84,117.18,"2.2%"
4043,67,2183,9589.82,53.82,"2.5%"
4045,61,6255,25518.85,143.21,"2.3%"
4046,62,6879,25250.32,141.71,"2.1%"
4047,65,3667,14769.73,82.89,"2.3%"
4048,61,2995,14350.12,80.53,"2.7%"
4049,61,4966,16456.96,92.36,"1.9%"
4050,63,1752,6396.35,35.9,"2.0%"
4051,62,2798,9512.2,53.38,"1.9%"
4052,60,3000,13569.31,76.15,"2.5%"
4053,65,4474,18944.75,106.32,"2.4%"
4054,68,5323,19854.95,111.43,"2.1%"
4055,66,8879,31546.06,177.04,"2.0%"
4056,63,5545,22687.78,127.33,"2.3%"
4058,68,2240,8858.7,49.72,"2.2%"
4059,70,3181,12792.32,71.79,"2.3%"
4060,73,2833,12047.27,67.61,"2.4%"
4061,74,2214,8595.39,48.24,"2.2%"
4062,75,2364,11466.7,64.35,"2.7%"
4063,72,2114,10404.13,58.39,"2.8%"
4064,73,4169,15803.49,88.69,"2.1%"
4065,73,2964,11121.39,62.41,"2.1%"
4066,78,3834,14240.62,79.92,"2.1%"
4067,70,5284,19777.47,110.99,"2.1%"
4068,74,1448,9501.26,53.32,"3.7%"
4069,70,2024,8443.35,47.38,"2.3%"
4070,71,1499,5557.39,31.19,"2.1%"
4071,72,2617,11006.7,61.77,"2.4%"
4072,73,1090,5433.28,30.49,"2.8%"
4073,74,3840,14936.79,83.83,"2.2%"
4074,73,3049,15053.18,84.48,"2.8%"
4075,74,1803,7349.5,41.25,"2.3%"
4076,72,2843,11532.6,64.72,"2.3%"
4077,76,2104,10203.7,57.26,"2.7%"
4078,74,4142,16052.42,90.09,"2.2%"
4079,73,4051,14819.2,83.17,"2.1%"
4080,75,2863,13998.85,78.56,"2.7%"
4081,76,2087,7876.49,44.2,"2.1%"
4082,73,3605,14388.47,80.75,"2.2%"
4083,75,3498,16550.54,92.88,"2.7%"
4084,71,7831,29119.81,163.42,"2.1%"
4085,76,2110,10011.31,56.18,"2.7%"
4086,78,828,7487.92,42.02,"5.1%"
4087,71,4885,20349.75,114.2,"2.3%"
4088,76,2608,10297.79,57.79,"2.2%"
4089,70,3892,14138.92,79.35,"2.0%"
4090,78,3287,14957.67,83.94,"2.6%"
4091,72,5019,19480.84,109.33,"2.2%"
4092,77,4322,16227.07,91.07,"2.1%"
4093,69,2766,9779.17,54.88,"2.0%"
4094,77,6428,23994.89,134.66,"2.1%"
4095,76,5310,21413.55,120.17,"2.3%"
4096,70,2144,7917.92,44.44,"2.1%"
4097,76,2783,11747.39,65.93,"2.4%"
4098,73,6679,23211.25,130.26,"2.0%"
4099,77,4220,14199.18,79.69,"1.9%"
4100,69,3410,14610.81,82,"2.4%"
9103,66,4911,17661.73,99.12,"2.0%"
9104,68,5826,22945.85,128.77,"2.2%"
9105,64,5910,20610.66,115.67,"2.0%"
9106,62,3947,16055.46,90.1,"2.3%"
9107,64,4106,14901.42,83.63,"2.0%"
9108,63,5812,21412.77,120.17,"2.1%"
9110,67,2904,11030.96,61.91,"2.1%"
9111,63,4539,19769.49,110.95,"2.4%"
9112,64,12093,41107.6,230.7,"1.9%"
9113,64,4702,18495.48,103.8,"2.2%"
9114,66,2474,9136.35,51.27,"2.1%"
9115,67,3853,16265.74,91.28,"2.4%"
9116,64,3522,14128.85,79.29,"2.3%"
9117,63,4414,18872.98,105.92,"2.4%"
9118,62,1819,7386,41.45,"2.3%"
9119,64,3995,14019.88,78.68,"2.0%"
9120,62,3546,13993.54,78.53,"2.2%"
9121,67,8717,32673.63,183.37,"2.1%"
9122,65,5825,19636.51,110.2,"1.9%"
9123,63,11627,43460.42,243.9,"2.1%"
9124,61,2639,13067.51,73.34,"2.8%"
9125,68,4701,19807.13,111.16,"2.4%"
9126,64,3232,14424.6,80.95,"2.5%"
9127,63,3431,12559.46,70.48,"2.1%"
9128,64,7643,28075.77,157.56,"2.1%"
9129,60,1233,4565.28,25.62,"2.1%"
9130,66,4594,15297.15,85.85,"1.9%"
9131,60,4055,14381.88,80.71,"2.0%"
9132,68,5143,17201.07,96.53,"1.9%"
9133,61,11872,42144.23,236.52,"2.0%"
9134,68,2545,11216.71,62.95,"2.5%"
9136,66,3407,14987.43,84.11,"2.5%"
9137,60,5354,21031.22,118.03,"2.2%"
9138,64,5874,22049.95,123.75,"2.1%"
9139,67,2373,8697.05,48.81,"2.1%"
9140,66,4180,16738.48,93.94,"2.2%"
9141,67,5632,22015.11,123.55,"2.2%"
9143,61,2813,9710.75,54.5,"1.9%"
9144,63,2832,12655.01,71.02,"2.5%"
9145,65,5686,23673.98,132.86,"2.3%"
9146,62,3684,12902.41,72.41,"2.0%"
9147,61,7237,26062.46,146.26,"2.0%"
9148,66,2294,8060.95,45.24,"2.0%"
9149,61,4533,17556.54,98.53,"2.2%"
9150,60,1577,6471.83,36.32,"2.3%"
9151,61,6483,21973.52,123.32,"1.9%"
9152,62,4166,15560.29,87.33,"2.1%"
9153,60,1484,7129.17,40.01,"2.7%"
9154,66,4864,20802.34,116.74,"2.4%"
9155,68,6801,25183.84,141.33,"2.1%"
9156,62,6711,26779.38,150.29,"2.2%"
9157,65,3977,14286.07,80.17,"2.0%"
9159,61,12120,40864.44,229.33,"1.9%"
9160,64,3652,12828.02,71.99,"2.0%"
9161,68,4938,20512.61,115.12,"2.3%"
9162,60,5679,21581.4,121.12,"2.1%"
9163,64,10053,38019.59,213.37,"2.1%"
9164,68,5479,22452.62,126.01,"2.3%"
9165,65,2644,12581.34,70.61,"2.7%"
9167,67,5900,23914.68,134.21,"2.3%"
9168,68,4635,17551.76,98.5,"2.1%"
9169,62,8637,31394.49,176.19,"2.0%"
9170,61,3031,10394.88,58.34,"1.9%"
9171,61,2169,9603.79,53.9,"2.5%"
9172,63,5415,22044.2,123.71,"2.3%"
9173,62,1613,7099.89,39.85,"2.5%"
9174,67,2955,11131.93,62.47,"2.1%"
9175,63,4241,17864.1,100.25,"2.4%"
9176,63,2552,13138.94,73.74,"2.9%"
9177,61,3282,11526.07,64.68,"2.0%"
9178,63,6125,22694.56,127.36,"2.1%"
9179,67,3567,13176.8,73.95,"2.1%"
9180,66,8032,29162.32,163.66,"2.0%"
9181,68,5517,19955.47,111.99,"2.0%"
9182,65,13642,46701.82,262.09,"1.9%"
9183,64,4529,15349.14,86.14,"1.9%"
9185,68,6009,23922.83,134.26,"2.2%"
9186,63,2901,12739.88,71.5,"2.5%"
9187,60,4279,15586.06,87.47,"2.0%"
9188,62,2044,10324.13,57.94,"2.8%"
9189,62,4618,17325.02,97.23,"2.1%"
9190,61,4828,18200.64,102.14,"2.1%"
9192,63,2326,8388.1,47.07,"2.0%"
9193,62,6406,23844.18,133.81,"2.1%"
9194,66,4959,20420.2,114.6,"2.3%"
9195,61,1145,5829.71,32.72,"2.9%"
9196,67,5200,18014.93,101.1,"1.9%"
9197,61,3169,14598.45,81.93,"2.6%"
9199,68,8535,31820.15,178.58,"2.1%"
9200,61,3462,16095.98,90.33,"2.6%"
9202,60,9162,30856.2,173.17,"1.9%"
9204,68,6241,24890.99,139.69,"2.2%"
9205,62,3455,16345.31,91.73,"2.7%"
9206,65,4322,17142.97,96.21,"2.2%"
9208,65,6632,22412.3,125.78,"1.9%"
9209,67,9398,36156.77,202.91,"2.2%"
9210,63,6697,22266.4,124.96,"1.9%"
9211,60,3091,10830.53,60.78,"2.0%"
9213,65,1874,8608.56,48.31,"2.6%"
9214,67,5556,22789.45,127.9,"2.3%"
9215,68,14642,51133.82,286.97,"2.0%"
9216,64,3806,16963.26,95.2,"2.5%"
9217,65,3401,16009.98,89.85,"2.6%"
9218,62,3212,12850.56,72.12,"2.2%"
9219,62,2516,10336.68,58.01,"2.3%"
9220,67,3458,15597.94,87.54,"2.5%"
9221,67,3634,17053.95,95.71,"2.6%"
9222,63,3469,12915.65,72.48,"2.1%"
9223,62,8617,32330.01,181.44,"2.1%"
9224,64,4195,16067.84,90.17,"2.1%"
9225,68,8771,31107.11,174.57,"2.0%"
9226,65,3229,11442.14,64.21,"2.0%"
9227,61,8748,31390.96,176.17,"2.0%"
9228,60,8240,28681.75,160.96,"2.0%"
9229,60,2980,13141,73.75,"2.5%"
9230,61,5082,18596.92,104.37,"2.1%"
9231,63,2785,12405.81,69.62,"2.5%"
9232,66,4968,17433.07,97.84,"2.0%"
9233,67,4138,14084.91,79.05,"1.9%"
9234,63,5203,17444.16,97.9,"1.9%"
9235,68,1903,9567.13,53.69,"2.8%"
9236,67,984,4775,26.8,"2.7%"
9237,65,5701,20740.7,116.4,"2.0%"
9238,67,5228,18892.62,106.03,"2.0%"
9239,64,2709,11744.96,65.91,"2.4%"
9241,62,6582,25666.66,144.04,"2.2%"
9242,66,4437,15210.84,85.36,"1.9%"
9243,66,7558,27082.43,151.99,"2.0%"
9244,62,2026,10043.76,56.37,"2.8%"
9245,61,5560,19730.14,110.73,"2.0%"
9246,62,3446,14546.33,81.63,"2.4%"
9247,66,3175,12228.08,68.62,"2.2%"
9248,61,5085,20384.43,114.4,"2.2%"
9249,61,3800,15025.31,84.32,"2.2%"
9250,60,2282,7876.99,44.21,"1.9%"
9251,66,8279,30404.45,170.63,"2.1%"
9252,62,3549,11795.59,66.2,"1.9%"
9253,68,3641,16126.21,90.5,"2.5%"
9254,63,8128,30246.01,169.74,"2.1%"
9255,61,9821,34158.51,191.7,"2.0%"
9256,66,2464,10828.49,60.77,"2.5%"
9257,67,4272,19011.02,106.69,"2.5%"
9258,64,2645,12033.35,67.53,"2.6%"
9259,68,4017,17067.76,95.79,"2.4%"
9260,65,3215,11504.72,64.57,"2.0%"
9261,60,3894,14947.48,83.89,"2.2%"
9262,64,2221,8715.48,48.91,"2.2%"
9263,64,4575,17381.6,97.55,"2.1%"
9264,60,5980,21858.2,122.67,"2.1%"
9265,60,5686,20893.98,117.26,"2.1%"
9268,62,6110,23881.25,134.02,"2.2%"
9269,65,2531,8654.94,48.57,"1.9%"
9270,63,2677,13172.09,73.92,"2.8%"
9271,64,4691,19374.74,108.73,"2.3%"
9272,67,10846,36715.68,206.05,"1.9%"
9275,65,4747,15988.91,89.73,"1.9%"
9276,61,5896,19875.46,111.54,"1.9%"
9277,61,2101,7261.43,40.75,"1.9%"
9278,66,5260,20462.29,114.84,"2.2%"
9280,64,4740,19152.86,107.49,"2.3%"
9281,64,8281,29418.68,165.1,"2.0%"
9282,67,4846,19824.07,111.25,"2.3%"
9283,67,3560,15579.23,87.43,"2.5%"
9284,61,6980,23529.02,132.05,"1.9%"
9285,68,2131,10666.39,59.86,"2.8%"
9286,62,8059,28782.74,161.53,"2.0%"
9287,64,4546,18472.38,103.67,"2.3%"
9288,62,2679,11751.16,65.95,"2.5%"
9289,65,13924,47802.25,268.27,"1.9%"
9290,66,3950,14610.04,81.99,"2.1%"
9292,62,12060,41250.3,231.5,"1.9%"
9293,68,2285,8203.23,46.04,"2.0%"
9294,61,5429,22561.32,126.62,"2.3%"
